date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:05	143674/143674	---M--	200	added ('OK')	image/jpeg	etag:%2230000000190dc-2313a-5359b37667747%22	http://www.guyswanson.com/graphics/3992.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/3992.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:08	161158/161158	---M--	200	added ('OK')	image/jpeg	etag:%223000000019386-27586-53557d2c600e3%22	http://www.guyswanson.com/graphics/3986.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/3986.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:10	73575/73575	---M--	200	added ('OK')	image/jpeg	etag:%222000000004383-11f67-540931ef727bc%22	http://www.guyswanson.com/graphics/4112.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4112.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:17	89616/89616	---M--	200	added ('OK')	image/jpeg	etag:%22300000001fcc1-15e10-54ef0854a2a08%22	http://www.guyswanson.com/graphics/4317.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4317.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:18	80180/80180	---M--	200	added ('OK')	image/jpeg	etag:%222000000004d95-13934-54211641b197d%22	http://www.guyswanson.com/graphics/4165.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4165.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:27	121093/121093	---M--	200	added ('OK')	image/jpeg	etag:%222000000004d97-1d905-54211e245e724%22	http://www.guyswanson.com/graphics/4166.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4166.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:28	113741/113741	---M--	200	added ('OK')	image/jpeg	etag:%222000000004d8c-1bc4d-542111ac04c71%22	http://www.guyswanson.com/graphics/4164.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4164.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:33	33325/33325	---M--	200	added ('OK')	image/jpeg	etag:%222000000004385-822d-540933194305e%22	http://www.guyswanson.com/graphics/4113.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4113.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:34	36711/36711	---M--	200	added ('OK')	image/jpeg	etag:%2250000000196f1-8f67-535cc7182f70d%22	http://www.guyswanson.com/graphics/3994.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/3994.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:40	42600/42600	---M--	200	added ('OK')	image/jpeg	etag:%222000000004387-a668-5409398d75363%22	http://www.guyswanson.com/graphics/4115.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4115.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:41	38687/38687	---M--	200	added ('OK')	image/jpeg	etag:%22200000000438a-971f-540942574f474%22	http://www.guyswanson.com/graphics/4117.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4117.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:43	16154/16154	---M--	200	added ('OK')	image/jpeg	etag:%22200000000438b-3f1a-540942e77e4a0%22	http://www.guyswanson.com/graphics/4118.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4118.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:43	163695/163695	---M--	200	added ('OK')	image/jpeg	etag:%222000000004d87-27f6f-5421105f52082%22	http://www.guyswanson.com/graphics/4163.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4163.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:47	35004/35004	---M--	200	added ('OK')	image/jpeg	etag:%22200000000438c-88bc-540943c8e3666%22	http://www.guyswanson.com/graphics/4119.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4119.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:58	88756/88756	---M--	200	added ('OK')	image/jpeg	etag:%2260000000000cb-15ab4-564d3390bb960%22	http://www.guyswanson.com/graphics/4562.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4562.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:54:59	77353/77353	---M--	200	added ('OK')	image/jpeg	etag:%22400000001d1ab-12e29-5b636b8564195%22	http://www.guyswanson.com/graphics/4867.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4867.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:55:03	29108/29108	---M--	200	added ('OK')	image/jpeg	etag:%224000000000833-71b4-5c0d6eb764557%22	http://www.guyswanson.com/graphics/masthead1.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/masthead1.jpg	(from http://www.guyswanson.com/3RiversArticles.html)
19:55:11	68090/68090	---M--	200	added ('OK')	image/jpeg	etag:%22400000001ca1a-109fa-5b5e3bcd4ee1d%22	http://www.guyswanson.com/graphics/4843.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4843.jpg	(from http://www.guyswanson.com/FindingHopeAHomesteadersStory.html)
19:55:11	27049/27049	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2002:55:11%20GMT	http://www.guyswanson.com/TheStoryofBillyChinook.html	I:/Guy%20Website/guy%20website/www.guyswanson.com/TheStoryofBillyChinook.html	(from http://www.guyswanson.com/3RiversArticles.html)
19:55:16	365011/365011	---M--	200	added ('OK')	image/jpeg	etag:%223000000017215-591d3-5359afe7b4822%22	http://www.guyswanson.com/graphics/3990.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/3990.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:55:21	108045/108045	---M--	200	added ('OK')	image/jpeg	etag:%22700000001ca1b-1a60d-5b5e3d809da22%22	http://www.guyswanson.com/graphics/4845.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4845.jpg	(from http://www.guyswanson.com/FindingHopeAHomesteadersStory.html)
19:55:22	30062/30062	---M--	200	added ('OK')	image/jpeg	etag:%226000000000830-756e-5c0d6fca3e6cc%22	http://www.guyswanson.com/graphics/masthead3.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/masthead3.jpg	(from http://www.guyswanson.com/ThestoryofHarryHeising.html)
19:55:22	24231/24231	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2002:55:22%20GMT	http://www.guyswanson.com/WhoShotYa.html	I:/Guy%20Website/guy%20website/www.guyswanson.com/WhoShotYa.html	(from http://www.guyswanson.com/3RiversArticles.html)
19:55:24	253260/253260	---M--	200	added ('OK')	image/jpeg	etag:%2220000000196f4-3dd4c-535cc7d621630%22	http://www.guyswanson.com/graphics/3995.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/3995.jpg	(from http://www.guyswanson.com/PhotosoftheProject.html)
19:55:45	247886/247886	---M--	200	added ('OK')	image/jpeg	etag:%22600000001d271-3c84e-5b64cf5effcce%22	http://www.guyswanson.com/graphics/4873.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4873.JPG	(from http://www.guyswanson.com/CovePalisadesPark.html)
19:55:53	263268/263268	---M--	200	added ('OK')	image/jpeg	etag:%22600000001ca20-40464-5b5e95957ffa0%22	http://www.guyswanson.com/graphics/4850.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4850.JPG	(from http://www.guyswanson.com/NoWaterforGrandview.html)
19:55:55	343093/343093	---M--	200	added ('OK')	image/jpeg	etag:%22600000001eb83-53c35-5b6c1c83521b3%22	http://www.guyswanson.com/graphics/4880.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4880.jpg	(from http://www.guyswanson.com/ThestoryofHarryHeising.html)
19:56:02	169738/169738	---M--	200	added ('OK')	image/jpeg	etag:%22400000001ca1c-2970a-5b5e3dee7b657%22	http://www.guyswanson.com/graphics/4846.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/4846.jpg	(from http://www.guyswanson.com/TheStoryofBillyChinook.html)
